IER5,5676,8.904069
SEC14L5,3781,8.902013
PTX3,2291,8.89631
ZDHHC2,5649,8.891547
HIVEP2,1226,8.882981
INSR,1393,8.880453
TNFRSF25,3329,8.863743
HCG4,5913,8.855549
DCP1A,6439,8.849978
JAKMIP2,3840,8.838629
APIP,5581,8.824752
ITGB3BP,4883,8.820531
SEPHS1,4640,8.816762
PNKD,5102,8.816624
TMTC4,8033,8.810675
CTSZ,639,8.807398
NRIP2,7749,8.801803
PPFIA4,3228,8.797101
SH3RF2,9042,8.795277
CLGN,464,8.782952
CTIF,3829,8.77961
FAM155A,9979,8.770626
DOT1L,7917,8.76971
ARNTL,182,8.765409
FZD6,3177,8.764894
ZNF385D,7388,8.762586
PPIL3,5879,8.75945
ZNF655,7225,8.751921
COL19A1,563,8.747933
MCRS1,4153,8.74407
RFPL2,4299,8.738502
PFKFB2,2007,8.737976
ARL5A,5193,8.731441
PCGF1,7990,8.729246
MIS18BP1,6266,8.702396
ZNF250,6907,8.693144
KCNN4,1476,8.691974
OSBPL1A,8455,8.686356
LAT,5264,8.684453
GADD45B,1744,8.680921
ERRFI1,5897,8.677196
HOMER3,3638,8.671456
SMC2,4234,8.67131
IKBKB,1358,8.667995
KRI1,7168,8.665247
SPHK1,3397,8.663793
NKX1-2,9811,8.659903
BAK1,252,8.659369
PXYLP1,8297,8.655159
HCN2,267,8.653566
FZD4,3176,8.645176
CFL2,476,8.641688
FOCAD,6058,8.635424
THOC1,3915,8.622656
ZSWIM4,7176,8.616642
ABCC1,1702,8.614351
RILP,7720,8.61396
P3H3,4203,8.609231
WDR97,9641,8.605951
SEC14L1,2535,8.601757
NDUFB9,1788,8.600837
HS6ST2,8163,8.600773
CRIPAK,9561,8.59839
UNC13C,9882,8.598132
ZNF146,3047,8.596817
SPACA6,8930,8.589909
LTB,1574,8.580539
PDIA5,4393,8.575826
SPINK8,9958,8.575678
CRTAC1,6162,8.573577
DTX3,9199,8.573356
TFB2M,7037,8.569744
RASSF8,4516,8.565721
LRRFIP1,3527,8.564176
SFI1,3831,8.556918
SLFN5,9113,8.554882
ABCA9,4103,8.553035
SLC16A7,3522,8.551978
TBC1D16,8643,8.550798
RCC2,6492,8.539432
GNRH1,1090,8.534388
